Image,URL
Screenshot 2026-03-24 163124.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163130.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163135.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163141.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163148.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163155.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163202.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163211.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163218.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163224.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163231.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163235.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163241.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163247.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163254.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163303.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163307.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163315.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163321.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163328.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163335.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163348.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163353.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163359.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163408.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163413.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163420.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163425.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163431.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163437.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163441.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163447.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163458.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163506.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163511.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163516.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163519.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163527.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163532.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163542.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163545.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163550.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163555.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163601.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163607.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163616.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163622.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163632.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163638.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163644.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
Screenshot 2026-03-24 163652.png,	https://www.indiabudget.gov.in/economicsurvey/doc/Infographics%20Hindi.pdf
