Image,URL
Schermata-2024-04-08-alle-09.26.30.png,https://feliciapelagalli.nova100.ilsole24ore.com/wp-content/uploads/sites/71/2024/04/Schermata-2024-04-08-alle-09.26.30.png
Schermata-2024-04-08-alle-09.21.02.png,https://feliciapelagalli.nova100.ilsole24ore.com/wp-content/uploads/sites/71/2024/04/Schermata-2024-04-08-alle-09.21.02.png
Schermata-2024-04-08-alle-09.24.43-1024x586.png,https://feliciapelagalli.nova100.ilsole24ore.com/wp-content/uploads/sites/71/2024/04/Schermata-2024-04-08-alle-09.24.43-1024x586.png
Schermata-2024-04-08-alle-09.23.08.png,https://feliciapelagalli.nova100.ilsole24ore.com/wp-content/uploads/sites/71/2024/04/Schermata-2024-04-08-alle-09.23.08.png
Schermata-2024-04-08-alle-09.29.24-1024x860.png,https://feliciapelagalli.nova100.ilsole24ore.com/wp-content/uploads/sites/71/2024/04/Schermata-2024-04-08-alle-09.29.24-1024x860.png
grafico-ue28,https://www.econopoly.ilsole24ore.com/wp-content/uploads/sites/91/2018/03/grafico-ue28.jpg
tabella-istruzione,https://www.econopoly.ilsole24ore.com/wp-content/uploads/sites/91/2018/03/tabella-istruzione.jpg
female-gender-gap-Eurostat-1024x1024,https://alleyoop.ilsole24ore.com/wp-content/uploads/sites/90/2025/07/female-gender-gap-Eurostat-1024x1024.jpg
Istat-ricambio,https://www.econopoly.ilsole24ore.com/wp-content/uploads/sites/91/2023/05/Istat-ricambio.jpg
bemresearch_grafico1,https://www.econopoly.ilsole24ore.com/wp-content/uploads/sites/91/2018/07/bemresearch_grafico1.png
bemresearch_tabella1,https://www.econopoly.ilsole24ore.com/wp-content/uploads/sites/91/2018/07/bemresearch_tabella1.png
sond-1808_obb-k5nH-U33601935237380hhH-656x492@Corriere-Web-Sezioni,https://images2.corriereobjects.it/methode_image/2022/08/18/Politica/Foto%20Politica%20-%20Trattate/sond-1808_obb-k5nH-U33601935237380hhH-656x492@Corriere-Web-Sezioni.png?v=20220819081251
Appunti01s-k5nH-U33601935237380x7H-593x443@Corriere-Web-Sezioni,https://images2.corriereobjects.it/methode_image/2022/08/18/Politica/Foto%20Politica%20-%20Trattate/Appunti01s-k5nH-U33601935237380x7H-593x443@Corriere-Web-Sezioni.jpg?v=202208190731
italia-k9XG-U34707072984522DI-656x492@Corriere-Web-Sezioni,https://images2.corriereobjects.it/methode_image/2024/03/19/Esteri/Foto%20Esteri%20-%20Trattate/italia-k9XG-U34707072984522DI-656x492@Corriere-Web-Sezioni.jpg?v=20240319220159
italia-k0gB-U3470707298452HYE-593x443@Corriere-Web-Sezioni,https://images2.corriereobjects.it/methode_image/2024/03/19/Esteri/Foto%20Esteri%20-%20Trattate/italia-k0gB-U3470707298452HYE-593x443@Corriere-Web-Sezioni.jpg?v=202403192159
proiezione-k9XG-U3470707298452APG-593x443@Corriere-Web-Sezioni,https://images2.corriereobjects.it/methode_image/2024/03/19/Esteri/Foto%20Esteri%20-%20Trattate/proiezione-k9XG-U3470707298452APG-593x443@Corriere-Web-Sezioni.jpg?v=202403192159
pot-coalizioni-k9XG-U3470707298452iyG-593x443@Corriere-Web-Sezioni,https://images2.corriereobjects.it/methode_image/2024/03/19/Esteri/Foto%20Esteri%20-%20Trattate/pot-coalizioni-k9XG-U3470707298452iyG-593x443@Corriere-Web-Sezioni.jpg?v=202403192159
partiti-k9XG-U3470707298452taG-593x443@Corriere-Web-Sezioni,https://images2.corriereobjects.it/methode_image/2024/03/19/Esteri/Foto%20Esteri%20-%20Trattate/partiti-k9XG-U3470707298452taG-593x443@Corriere-Web-Sezioni.jpg?v=202403192159
francia-k0gB-U34707072984528ZB-593x443@Corriere-Web-Sezioni,https://images2.corriereobjects.it/methode_image/2024/03/19/Esteri/Foto%20Esteri%20-%20Trattate/francia-k0gB-U34707072984528ZB-593x443@Corriere-Web-Sezioni.jpg?v=202403192159
abruzzo-confronto,https://images2.corriereobjects.it/methode_image/2019/02/11/Politica/Foto%20Politica/abruzzo-confronto.jpg?v=201902110800
equilibri-kDBG-U43440411542247I8D-593x443@Corriere-Web-Sezioni,https://images2.corriereobjects.it/methode_image/2018/02/16/Politica/Foto%20Politica%20-%20Trattate/equilibri-kDBG-U43440411542247I8D-593x443@Corriere-Web-Sezioni.jpg?v=20180216145201
elezioni-grafico_ori_crop_MASTER__0x0,https://images2.corriereobjects.it/methode_image/2019/05/09/Politica/Foto%20Politica%20-%20Trattate/elezioni-grafico_ori_crop_MASTER__0x0.jpg?v=201905092157
infografica-pagnoncelli2,https://images2.corriereobjects.it/methode_image/2019/12/20/Politica/Foto%20Politica/infografica-pagnoncelli2.jpg?v=201912210850
grafico-kDWB-U3370681059829VaB-656x492@Corriere-Web-Sezioni,https://images2.corriereobjects.it/methode_image/2022/09/08/Politica/Foto%20Politica%20-%20Trattate/grafico-kDWB-U3370681059829VaB-656x492@Corriere-Web-Sezioni.jpg?v=20220909011530
flussi squared-k7LB-U3120925412256NuD-656x492@Corriere-Web-Sezioni,https://images2.corriereobjects.it/methode_image/2019/05/27/Politica/Foto%20Politica%20-%20Trattate/flussi%20squared-k7LB-U3120925412256NuD-656x492@Corriere-Web-Sezioni.PNG?v=20190527191605
130218912-eb5607ae-f9cc-4270-a4c8-e023977765c8,https://www.repstatic.it/content/nazionale/img/2023/06/13/130218912-eb5607ae-f9cc-4270-a4c8-e023977765c8.jpg?webp
091601104-7e189db9-d487-43e7-be3e-fb69f77409ed,https://www.repstatic.it/content/nazionale/img/2025/01/30/091601104-7e189db9-d487-43e7-be3e-fb69f77409ed.jpg?webp
090442651-3a90bf9a-813c-4616-940d-c01f758def25,https://www.repstatic.it/content/nazionale/img/2020/06/10/090442651-3a90bf9a-813c-4616-940d-c01f758def25.jpg?webp
123737727-bb173ac4-89db-4b9f-8071-881afd1ecef7,https://www.repstatic.it/content/nazionale/img/2024/03/08/123737727-bb173ac4-89db-4b9f-8071-881afd1ecef7.jpg?webp
