Image,URL
_128663961_nigeria_food_inflation_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/4228/production/_128663961_nigeria_food_inflation_640-nc.png.webp
_128685036_nigeria_public_debt_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/F652/production/_128685036_nigeria_public_debt_640-nc.png.webp
_128685037_nigeria_oil_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/11D62/production/_128685037_nigeria_oil_640-nc.png.webp
_128685038_nigeria_population_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/14472/production/_128685038_nigeria_population_640-nc.png.webp
_128685039_nigeria_unemploment_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/16B82/production/_128685039_nigeria_unemploment_640-nc.png.webp
_128685040_nigeria_online_access_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/0FDA/production/_128685040_nigeria_online_access_640-nc.png.webp
816,https://ichef.bbci.co.uk/news/1632/idt2/idt2/3e9104c3-132a-4ed7-be44-f0ad182470d9/image/816
140515160406_nigeria_boko_attacks_624_hausa.gif,https://ichef.bbci.co.uk/ace/ws/624/amz/worldservice/live/assets/images/2014/05/15/140515160406_nigeria_boko_attacks_624_hausa.gif.webp
140515160604_civilian_death_in_boko_624_hausa.gif,https://ichef.bbci.co.uk/ace/ws/624/amz/worldservice/live/assets/images/2014/05/15/140515160604_civilian_death_in_boko_624_hausa.gif.webp
44091274_7,https://static.dw.com/image/44091274_7.png
44091654_7,https://static.dw.com/image/44091654_7.png
44091686_7,https://static.dw.com/image/44091686_7.png
4939d4aeaad3f9483e602f90063171c18b5af85b,https://www.bbc.com/staticarchive/4939d4aeaad3f9483e602f90063171c18b5af85b.png
c17813b98953530a9085eb6380b20f5e28aef7d1,https://www.bbc.com/staticarchive/c17813b98953530a9085eb6380b20f5e28aef7d1.png
dd0cd1e984e4fd86081969e02539c184cf396c35,https://www.bbc.com/staticarchive/dd0cd1e984e4fd86081969e02539c184cf396c35.jpg
3125947dc2e6b5913caee7eb6afa17eec9ce5a38,https://www.bbc.com/staticarchive/3125947dc2e6b5913caee7eb6afa17eec9ce5a38.png
_118963966_hause_ethiopia_population_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/10578/production/_118963966_hause_ethiopia_population_640-nc.png.webp
_118963844_hausa_ethiopia_gni_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/AF24/production/_118963844_hausa_ethiopia_gni_640-nc.png.webp
_118963849_hausa_ethiopia_mortality_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/17274/production/_118963849_hausa_ethiopia_mortality_640-nc.png.webp
_118963843_hausa_ethiopia_ethinic_groups_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/8814/production/_118963843_hausa_ethiopia_ethinic_groups_640-nc.png.webp
816 (1),https://ichef.bbci.co.uk/news/1632/idt2/idt2/0db3672c-2741-4c84-8294-0b00efe3e6b1/image/816
_114298779_us_military_3x_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/17DFD/production/_114298779_us_military_3x_640-nc.png.webp
816 (2),https://ichef.bbci.co.uk/news/1632/idt2/idt2/e7c67ae8-ad95-4969-b241-87386934e5d5/image/816
_114298781_us_troops_3x_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/4965/production/_114298781_us_troops_3x_640-nc.png.webp
140106110650_rise_of_mints_624_hausa.gif,https://ichef.bbci.co.uk/ace/ws/624/amz/worldservice/live/assets/images/2014/01/06/140106110650_rise_of_mints_624_hausa.gif.webp
_124910605_de71cfb5-b6f7-4ce1-b6ad-04dc5c2ea118.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/C5A9/production/_124910605_de71cfb5-b6f7-4ce1-b6ad-04dc5c2ea118.png.webp
_124930134_gundeathbreakdown_hausa_x2-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/A85F/production/_124930134_gundeathbreakdown_hausa_x2-nc.png.webp
_124930136_worst_mass_shootings_hausa_x2-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/F67F/production/_124930136_worst_mass_shootings_hausa_x2-nc.png.webp
_124930138_attitudes_hausa_x2-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/1449F/production/_124930138_attitudes_hausa_x2-nc.png.webp
_124930142_gun_group_spending_hausa_x2-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/5E27/production/_124930142_gun_group_spending_hausa_x2-nc.png.webp
_118870578_aid_v3-hausa_nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/155D3/production/_118870578_aid_v3-hausa_nc.png.webp
_118870579_oecd-hausa_nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/17CE3/production/_118870579_oecd-hausa_nc.png.webp
_118870580_recipients_hausa_640x2-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/213B/production/_118870580_recipients_hausa_640x2-nc.png.webp
