Image,	URL
c536b1f7-37a8-45c0-9700-f4a88ed40ab2,	https://www.alarabiya.net/aswaq/infographic/2026/01/06/%D8%B5%D8%A7%D9%81%D9%8A-%D8%AA%D8%AF%D9%81%D9%82%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D8%A7%D9%84%D8%A7%D8%AC%D9%86%D8%A8%D9%8A-%D8%A7%D9%84%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9
1240d693-0881-4cea-8a9c-3f8e489f6380,	https://www.alarabiya.net/aswaq/infographic/2026/01/06/%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%86-%D8%A7%D9%84%D9%86%D9%81%D9%8A%D8%B3%D8%A9-%D8%AA%D8%B3%D8%AC%D9%84-%D9%81%D9%8A-2025-%D8%A7%D9%81%D8%B6%D9%84-%D8%A7%D8%AF%D8%A7%D8%A1-%D8%B3%D9%86%D9%88%D9%8A-%D9%85%D9%86%D8%B0-%D8%B9%D9%82%D9%88%D8%AF
0a2718c6-5f0a-411a-8571-4c6234b03c32,	https://www.alarabiya.net/aswaq/infographic/2026/01/06/%D8%A7%D9%83%D8%A8%D8%B1-%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D8%AD%D9%8A%D9%86-%D9%88%D8%A7%D9%84%D8%AE%D8%A7%D8%B3%D8%B1%D9%8A%D9%86-%D9%81%D9%8A-%D8%B2.jpg2_3%D9%88%D9%82-%D8%A7%D9%84%D8%A7%D8%B3%D9%87%D9%85-%D8%A7%D9%84%D8%A7%D9%85%D9%8A%D8%B1%D9%83%D9%8A%D8%A9-%D8%AE%D9%84%D8%A7%D9%84-2025
ff4aaa86-0e56-496f-8c40-5b47f4e15967,	https://www.alarabiya.net/aswaq/infographic/2026/01/06/%D8%AA%D8%B7%D9%88%D8%B1-%D8%A7%D9%86%D9%87%D9%8A%D8%A7%D8%B1-%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D9%86%D9%81%D8%B7-%D9%81%D9%8A-%D9%81%D9%86%D8%B2%D9%88%D9%8A%D9%84%D8%A7
697a4c84-34a2-4fb1-b988-8cd571390a51,	https://www.alarabiya.net/aswaq/infographic/2025/10/27/%D8%A7%D9%84%D8%B0%D9%87%D8%A8-%D9%8A%D8%AA%D8%B5%D8%AF%D8%B1-%D8%A7%D8%AF%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D9%88%D9%84-%D9%81%D9%8A-%D8%A7%D9%84%D9%82%D8%B1%D9%86-%D8%A7%D9%84%D8%AD%D8%A7%D8%AF%D9%8A-%D9%88%D8%A7%D9%84%D8%B9%D8%B4%D8%B1%D9%8A%D9%86
8ffc03a2-e791-435f-95ff-b2ab23b4be6a,	https://www.alarabiya.net/aswaq/infographic/2025/10/27/%D8%A7%D9%84%D8%B5%D9%8A%D9%86-%D8%AA%D9%87%D9%8A%D9%85%D9%86-%D8%B9%D9%84%D9%89-%D8%A7%D8%AD%D8%AA%D9%8A%D8%A7%D8%B7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%86-%D8%A7%D9%84%D9%86%D8%A7%D8%AF%D8%B1%D8%A9-%D8%B9%D8%A7%D9%84%D9%85%D9%8A-%D8%A7
b17643ab-0ad5-4a55-ac77-5073b53685e8,	https://www.alarabiya.net/aswaq/infographic/2025/09/02/%D8%B3%D8%A8%D8%A7%D9%82-%D9%85%D8%AD%D8%AA%D8%AF%D9%85-%D8%A8%D9%8A%D9%86-%D8%B4%D8%B1%D9%83%D8%A7%D8%AA-%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A%D8%A9
19319003-5c70-4fc6-bb47-d8270eb14e4c,	https://www.alarabiya.net/aswaq/infographic/2025/07/18/%D8%A7%D9%86%D9%81%D9%8A%D8%AF%D9%8A%D8%A7-%D8%A7%D9%88%D9%84-%D8%B4%D8%B1%D9%83%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85-%D8%AA%D9%84%D8%A7%D9%85%D8%B3-%D9%82%D9%8A%D9%85%D8%AA%D9%87%D8%A7-4-%D8%AA%D8%B1%D9%8A%D9%84%D9%8A%D9%88%D9%86%D8%A7%D8%AA-%D8%AF%D9%88%D9%84%D8%A7%D8%B1
54a0a126-e95d-4a44-b3dc-d8f262147df7,	https://www.alarabiya.net/aswaq/infographic/2025/07/18/%D8%A8%D9%8A%D8%AA%D9%83%D9%88%D9%8A%D9%86-%D8%AA%D8%AA%D8%AC%D8%A7%D9%88%D8%B2-%D8%AD%D8%A7%D8%AC%D8%B2-120-%D8%A7%D9%84%D9%81-%D8%AF%D9%88%D9%84%D8%A7%D8%B1-%D9%84%D9%84%D9%85%D8%B1%D8%A9-%D8%A7%D9%84%D8%A7%D9%88%D9%84%D9%89
58227529-2689-415e-a3f2-fda2a5b68573,	https://www.alarabiya.net/aswaq/infographic/2025/06/29/%D8%A7%D9%83%D8%A8%D8%B1-%D8%AD%D8%A7%D8%A6%D8%B2%D9%8A-%D8%B3%D9%86%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%AE%D8%B2%D8%A7%D9%86%D8%A9-%D8%A7%D9%84%D8%A7%D9%85%D9%8A%D8%B1%D9%83%D9%8A%D8%A9-%D8%A8%D9%86%D9%87%D8%A7%D9%8A%D8%A9-%D8%A7%D8%A8%D8%B1%D9%8A%D9%84-2025
