Image,URL
PYH2022062122860005700_P4,https://img1.yna.co.kr/photo/yna/YH/2022/06/21/PYH2022062122860005700_P4.jpg
GYH2023071100050004400_P4,https://img9.yna.co.kr/etc/graphic/YH/2023/07/11/GYH2023071100050004400_P4.jpg
AKR20170228185851017_01_i_P4,https://img8.yna.co.kr/etc/inner/KR/2017/02/28/AKR20170228185851017_01_i_P4.jpg
AKR20230414020951504_01_i_P4,https://img0.yna.co.kr/etc/inner/KR/2023/04/14/AKR20230414020951504_01_i_P4.jpg
AKR20230414020951504_02_i_P4,https://img9.yna.co.kr/etc/inner/KR/2023/04/14/AKR20230414020951504_02_i_P4.jpg
XF5W5CYXKZGLBGDSHYOFQHWN54,https://biz.chosun.com/resizer/v2/XF5W5CYXKZGLBGDSHYOFQHWN54.jpg?auth=2fdf99c90077a7857498ec0606fd6edf37876095413fa02293337bc8dbee551d&width=616
AKR20180821062300063_01_i_P4,https://img8.yna.co.kr/etc/inner/KR/2018/08/21/AKR20180821062300063_01_i_P4.jpg
AKR20180821062300063_02_i_P4,https://img7.yna.co.kr/etc/inner/KR/2018/08/21/AKR20180821062300063_02_i_P4.jpg
AKR20180821062300063_03_i_P4,https://img6.yna.co.kr/etc/inner/KR/2018/08/21/AKR20180821062300063_03_i_P4.jpg
GYH2019022700140004400_P4,https://img7.yna.co.kr/etc/graphic/YH/2019/02/27/GYH2019022700140004400_P4.jpg
GYH2018102500020004400_P4,https://img0.yna.co.kr/etc/graphic/YH/2018/10/25/GYH2018102500020004400_P4.jpg
7a30k07b,https://img.khan.co.kr/news/2007/01/30/7a30k07b.webp
GYH2023071100080004400_P4,https://img0.yna.co.kr/etc/graphic/YH/2023/07/11/GYH2023071100080004400_P4.jpg
7j16k03c,https://img.khan.co.kr/news/2007/10/16/7j16k03c.webp
7j16k03d,https://img.khan.co.kr/news/2007/10/16/7j16k03d.webp
l_2020072301002737800215421,https://img.khan.co.kr/news/r/700xX/2020/07/22/l_2020072301002737800215421.webp
GYH2015011900020004400_P4,https://img0.yna.co.kr/etc/graphic/YH/2015/01/19/GYH2015011900020004400_P4.jpg
AKR20150116153900017_01_i_P4,https://img4.yna.co.kr/etc/inner/KR/2015/01/16/AKR20150116153900017_01_i_P4.jpg
AKR20240926177600530_01_i_P4,https://img3.yna.co.kr/etc/inner/KR/2024/09/26/AKR20240926177600530_01_i_P4.jpg
AKR20210526029200530_01_i_P4,https://img5.yna.co.kr/etc/inner/KR/2021/05/26/AKR20210526029200530_01_i_P4.jpg
GYH2020062500080004400_P4,https://img2.yna.co.kr/etc/graphic/YH/2020/06/25/GYH2020062500080004400_P4.jpg
2015070901249_0,https://m.health.chosun.com/site/data/img_dir/2015/07/09/2015070901249_0.jpg
AKR20221030061200009_01_i_P4,https://img2.yna.co.kr/etc/inner/KR/2022/10/30/AKR20221030061200009_01_i_P4.jpg
3GSNB3MQLNGGPMSVAM5VEADYXE,https://biz.chosun.com/resizer/GSZnu-G5pWoIE-za_Z8ORzfCQLI=/1936x1456/smart/cloudfront-ap-northeast-1.images.arcpublishing.com/chosunbiz/3GSNB3MQLNGGPMSVAM5VEADYXE.png
AKR20211025050700063_01_i_P4,https://img7.yna.co.kr/etc/inner/KR/2021/10/25/AKR20211025050700063_01_i_P4.jpg
2020040902946_1,https://cdn.it.chosun.com/news/photo/202004/2020040902946_1.png
XS5E7ZMFB5FSBBD54625JCMAG4,https://www.chosun.com/resizer/v2/XS5E7ZMFB5FSBBD54625JCMAG4.png?auth=2ff8834e65fe6e75686c13fd171e03b06fed1974c60505575b1559972074d551&width=480&height=640&smart=true
2021121501922_1,https://cdn.it.chosun.com/news/photo/202112/2021121501922_1.png
2021121501922_2,https://cdn.it.chosun.com/news/photo/202112/2021121501922_2.png
khan_q18Ial,https://img.khan.co.kr/news/2016/11/21/khan_q18Ial.webp
AKR20211216053300076_04_i_P4,https://img3.yna.co.kr/etc/inner/KR/2021/12/16/AKR20211216053300076_04_i_P4.jpg
GYH2024111900060004400_P4,https://img6.yna.co.kr/etc/graphic/YH/2024/11/19/GYH2024111900060004400_P4.jpg
AKR20170824115400002_01_i_P4,https://img7.yna.co.kr/etc/inner/KR/2017/08/24/AKR20170824115400002_01_i_P4.jpg
GYH2024111800040004400_P4,https://img8.yna.co.kr/etc/graphic/YH/2024/11/18/GYH2024111800040004400_P4.jpg
AKR20241218053800530_01_i_P4,https://img6.yna.co.kr/etc/inner/KR/2024/12/18/AKR20241218053800530_01_i_P4.jpg
2021081201057_1,https://cdn.it.chosun.com/news/photo/202108/2021081201057_1.jpg
Screenshot 2026-03-24 220847.png,	https://img9.yna.co.kr/etc/graphic/YH/2017/03/21/GYH2017032100030004400_P4.jpg
Screenshot 2026-03-24 220855.png,	https://img9.yna.co.kr/etc/graphic/YH/2017/03/21/GYH2017032100030004400_P4.jpg
Screenshot 2026-03-24 221000.png,	https://img4.yna.co.kr/etc/graphic/YH/2022/12/28/GYH2022122800110004400_P4.jpg
Screenshot 2026-03-24 221003.png,	https://img4.yna.co.kr/etc/graphic/YH/2022/12/28/GYH2022122800110004400_P4.jpg
Screenshot 2026-03-24 221006.png,	https://img4.yna.co.kr/etc/graphic/YH/2022/12/28/GYH2022122800110004400_P4.jpg
Screenshot 2026-03-24 221014.png,	https://img4.yna.co.kr/etc/graphic/YH/2022/12/28/GYH2022122800110004400_P4.jpg
Screenshot 2026-03-24 221153.png,	https://cb.yna.co.kr/gate/big5/img.yna.co.kr/etc/graphic/YH/2022/05/25/GYH2022052500080004400_P4.jpg
Screenshot 2026-03-24 221158.png,	https://cb.yna.co.kr/gate/big5/img.yna.co.kr/etc/graphic/YH/2022/05/25/GYH2022052500080004400_P4.jpg
Screenshot 2026-03-24 221202.png,	https://cb.yna.co.kr/gate/big5/img.yna.co.kr/etc/graphic/YH/2022/05/25/GYH2022052500080004400_P4.jpg
Screenshot 2026-03-24 221236.png,	https://img7.yna.co.kr/etc/graphic/YH/2019/02/21/GYH2019022100050004400_P4.jpg
Screenshot 2026-03-24 221240.png,	https://img7.yna.co.kr/etc/graphic/YH/2019/02/21/GYH2019022100050004400_P4.jpg
Screenshot 2026-03-24 221429.png,	https://img4.yna.co.kr/etc/graphic/YH/2020/04/27/GYH2020042700110004400_P4.jpg
Screenshot 2026-03-24 221433.png,	https://img4.yna.co.kr/etc/graphic/YH/2020/04/27/GYH2020042700110004400_P4.jpg
Screenshot 2026-03-24 221437.png,	https://img4.yna.co.kr/etc/graphic/YH/2020/04/27/GYH2020042700110004400_P4.jpg
