Image,URL
_126170950_4b833b7c-6417-4be0-980b-8d3b5727edb8.jpg,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/1713/production/_126170950_4b833b7c-6417-4be0-980b-8d3b5727edb8.jpg.webp
_126170952_c49c5192-20c0-41fb-b98a-ab301967e11f.jpg,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/6533/production/_126170952_c49c5192-20c0-41fb-b98a-ab301967e11f.jpg.webp
_126170954_cdc5814a-749d-4266-8571-781c02d7ec51.jpg,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/B353/production/_126170954_cdc5814a-749d-4266-8571-781c02d7ec51.jpg.webp
_126170956_642dbcd7-fc19-47eb-b5e6-9a5155f858a8.jpg,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/10173/production/_126170956_642dbcd7-fc19-47eb-b5e6-9a5155f858a8.jpg.webp
_126170958_82043a1c-fd66-45fd-b83c-465ea43a8b5c.jpg,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/14F93/production/_126170958_82043a1c-fd66-45fd-b83c-465ea43a8b5c.jpg.webp
_126171645_a4cfd8a9-44a1-475d-ad6d-877cc64033cb.jpg,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/D559/production/_126171645_a4cfd8a9-44a1-475d-ad6d-877cc64033cb.jpg.webp
_126171647_60fe1f96-2e36-4881-9d6f-1b46b2dde34e.jpg,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/12379/production/_126171647_60fe1f96-2e36-4881-9d6f-1b46b2dde34e.jpg.webp
_126171651_7e6fe39d-198d-4ee8-bf95-45042bf58030.jpg,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/3D01/production/_126171651_7e6fe39d-198d-4ee8-bf95-45042bf58030.jpg.webp
_126171649_fd690654-bdb6-417b-80cb-3bee10741409.jpg,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/17199/production/_126171649_fd690654-bdb6-417b-80cb-3bee10741409.jpg.webp
160118095925_world_wealth_disparity_624_swahili.png,https://ichef.bbci.co.uk/ace/ws/624/amz/worldservice/live/assets/images/2016/01/18/160118095925_world_wealth_disparity_624_swahili.png.webp
_128694547_nigeria_food_inflation_640-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/12335/production/_128694547_nigeria_food_inflation_640-nc.png.webp
_128694549_nigeria_public_debt_640-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/17155/production/_128694549_nigeria_public_debt_640-nc.png.webp
_128694551_nigeria_oil_640-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/3CBD/production/_128694551_nigeria_oil_640-nc.png.webp
_128694552_nigeria_population_640-nc.png,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/63CD/production/_128694552_nigeria_population_640-nc.png.webp
_128694554_nigeria_unemploment_640-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/B1ED/production/_128694554_nigeria_unemploment_640-nc.png.webp
_128694576_nigeria_online_access_640-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/107DD/production/_128694576_nigeria_online_access_640-nc.png.webp
816,https://ichef.bbci.co.uk/news/1632/idt2/idt2/408d2e1c-8366-429c-ac5f-19c0df7134af/image/816
816 (1),https://ichef.bbci.co.uk/news/1632/idt2/idt2/f7baead2-4379-4022-b275-31ee7c769b00/image/816
816 (2),https://ichef.bbci.co.uk/news/1632/idt2/idt2/7fc29215-f3f2-4ac0-9320-84808a9bc82a/image/816
816 (3),https://ichef.bbci.co.uk/news/1632/idt2/idt2/2039a5e2-cd29-4a13-94ff-f42e77a458b3/image/816
_102035402_2e520785-f79e-4862-b30e-8e0e8c9866b2.jpg,https://ichef.bbci.co.uk/ace/ws/624/cpsprodpb/4FE5/production/_102035402_2e520785-f79e-4862-b30e-8e0e8c9866b2.jpg.webp
b6300b50-95e7-11ee-b9a7-c91b9dfa91e5.jpg,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/82fa/live/b6300b50-95e7-11ee-b9a7-c91b9dfa91e5.jpg.webp
_102035403_d4083dbc-e658-4974-a51d-8aa99f71ddfd.jpg,https://ichef.bbci.co.uk/ace/ws/624/cpsprodpb/76F5/production/_102035403_d4083dbc-e658-4974-a51d-8aa99f71ddfd.jpg.webp
9b91bcd1-544f-4972-94e2-535923b981e5.jpg,https://ichef.bbci.co.uk/ace/ws/793/cpsprodpb/vivo/live/images/2025/10/29/9b91bcd1-544f-4972-94e2-535923b981e5.jpg.webp
e32dd62e-785d-4e18-a8f5-900029804027.jpg,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/vivo/live/images/2025/10/29/e32dd62e-785d-4e18-a8f5-900029804027.jpg.webp
140825082525_ebola_yaua_watu_wawili_drc__512x288_bbc_nocredit.jpg,https://ichef.bbci.co.uk/ace/ws/512/amz/worldservice/live/assets/images/2014/08/25/140825082525_ebola_yaua_watu_wawili_drc__512x288_bbc_nocredit.jpg.webp
140825082416_serikali_ya_drc__imesema_watu_wawili_wamekufa_kutokana_na_ugonjwa_wa_ebola_512x288_bbc_nocredit.jpg,https://ichef.bbci.co.uk/ace/ws/512/amz/worldservice/live/assets/images/2014/08/25/140825082416_serikali_ya_drc__imesema_watu_wawili_wamekufa_kutokana_na_ugonjwa_wa_ebola_512x288_bbc_nocredit.jpg.webp
062c7410-d467-11ed-aa8e-31a9f3ff4e07.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/5071/live/062c7410-d467-11ed-aa8e-31a9f3ff4e07.png.webp
23fc2300-d467-11ed-aa8e-31a9f3ff4e07.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/5c3b/live/23fc2300-d467-11ed-aa8e-31a9f3ff4e07.png.webp
3ecaee00-d467-11ed-aa8e-31a9f3ff4e07.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/08a2/live/3ecaee00-d467-11ed-aa8e-31a9f3ff4e07.png.webp
57e5a060-d467-11ed-aa8e-31a9f3ff4e07.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/9312/live/57e5a060-d467-11ed-aa8e-31a9f3ff4e07.png.webp
772aff60-d467-11ed-aa8e-31a9f3ff4e07.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/7837/live/772aff60-d467-11ed-aa8e-31a9f3ff4e07.png.webp
8f55ac70-d467-11ed-aa8e-31a9f3ff4e07.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/27e6/live/8f55ac70-d467-11ed-aa8e-31a9f3ff4e07.png.webp
_118664310_seychelles_daily_cases20may_swahili-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/0542/production/_118664310_seychelles_daily_cases20may_swahili-nc.png.webp
_118664159_ushelisheli.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/173AA/production/_118664159_ushelisheli.png.webp
