Image,URL
d1375330-b109-11ee-beb5-e1400df560f2.jpg,https://ichef.bbci.co.uk/ace/ws/634/cpsprodpb/c934/live/d1375330-b109-11ee-beb5-e1400df560f2.jpg.webp
c56581d0-b109-11ee-beb5-e1400df560f2.jpg,https://ichef.bbci.co.uk/ace/ws/638/cpsprodpb/ce54/live/c56581d0-b109-11ee-beb5-e1400df560f2.jpg.webp
9566c4d0-aee8-11ee-8f07-bbfdfa890097.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/3451/live/9566c4d0-aee8-11ee-8f07-bbfdfa890097.png.webp
a53a56b0-b109-11ee-8f07-bbfdfa890097.jpg,https://ichef.bbci.co.uk/ace/ws/636/cpsprodpb/bf3d/live/a53a56b0-b109-11ee-8f07-bbfdfa890097.jpg.webp
8f7781e0-b109-11ee-bc2f-cb5579b90709.jpg,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/2d4d/live/8f7781e0-b109-11ee-bc2f-cb5579b90709.jpg.webp
816,https://ichef.bbci.co.uk/news/1632/idt2/idt2/79fb2de2-5ad0-44ad-bac9-1ec76cc2eb33/image/816
_119242239_chart.jpg,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/16C28/production/_119242239_chart.jpg.webp
image (1),https://images.altv.tv/images/gallery-images/7x4777F6s.jpg/cover1280w720h/image.jpg
image (2),https://images.altv.tv/images/gallery-images/7x47ByJep.jpg/cover1280w720h/image.jpg
2-act_info_20251002,https://files.wp.thaipbs.or.th/theactive/2025/10/2-act_info_20251002.jpg
_110894017_13feb_covid19.jpg,https://ichef.bbci.co.uk/ace/ws/536/cpsprodpb/11589/production/_110894017_13feb_covid19.jpg.webp
035d9400-9d9f-11ef-82c3-45a801b7330b.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/afdf/live/035d9400-9d9f-11ef-82c3-45a801b7330b.png.webp
0c3ab670-9d9f-11ef-8538-e1655f5a8342.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/31f8/live/0c3ab670-9d9f-11ef-8538-e1655f5a8342.png.webp
ค่าฝุ่น-1536x1536,https://www.thaipbs.or.th/thecitizen/wp-content/uploads/2024/03/%E0%B8%84%E0%B9%88%E0%B8%B2%E0%B8%9D%E0%B8%B8%E0%B9%88%E0%B8%99-1536x1536.jpg
001.jpg,https://www.thaipbs.or.th/thecitizen/wp-content/uploads/2024/03/001.jpg
816 (1),https://ichef.bbci.co.uk/news/1632/idt2/idt2/c22de346-40f4-4cd6-bceb-55fc3d6ad4b9/image/816
_120232220_7c154f8a-a4e9-4c69-a07f-30ce53fcfd3c.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/08AF/production/_120232220_7c154f8a-a4e9-4c69-a07f-30ce53fcfd3c.png.webp
chart-1,https://files.wp.thaipbs.or.th/theactive/2022/01/chart-1.png
816 (2),https://ichef.bbci.co.uk/news/1632/idt2/idt2/11761d08-88ef-4b9c-9c57-758a9ba87493/image/816
chart,https://files.wp.thaipbs.or.th/theactive/2022/01/chart.png
chart-2,https://files.wp.thaipbs.or.th/theactive/2022/01/chart-2.png
ff-2,https://files.wp.thaipbs.or.th/theactive/2022/11/ff-2.jpg
02-1.jpg,https://files.wp.thaipbs.or.th/theactive/2022/08/02-1.jpg
ff-1,https://files.wp.thaipbs.or.th/theactive/2022/11/ff-1.jpg
05.jpg,https://files.wp.thaipbs.or.th/theactive/2022/08/05.jpg
06-01.jpg,https://files.wp.thaipbs.or.th/theactive/2022/08/06-01.jpg
04,https://files.wp.thaipbs.or.th/theactive/2022/08/04.jpg
07,https://files.wp.thaipbs.or.th/theactive/2022/08/07.jpg
08,https://files.wp.thaipbs.or.th/theactive/2022/08/08.jpg
_119881814_heat_dome-2x-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/A35A/production/_119881814_heat_dome-2x-nc.png.webp
_119881816_2.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/F17A/production/_119881816_2.png.webp
_119881818_extreme_global_temperatures-2x-nc.png,https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/13F9A/production/_119881818_extreme_global_temperatures-2x-nc.png.webp
