locale,language,count
SaudiArabia-Arabic,Arabic,353
HongKong-Chinese,Chinese,306
Japan-Japanese,Japanese,296
China-Chinese,Chinese,285
UnitedStates-English,English,268
France-French,French,265
Germany-German,German,259
Spain-Spanish,Spanish,257
Russia-Russian,Russian,252
Indonesia-Indonesian,Indonesian,246
Vietnam-Vietnamese,Vietnamese,233
Turkey-Turkish,Turkish,220
Brazil-Portuguese,Portuguese,217
India-Hindi,Hindi,216
Portugal-Portuguese,Portuguese,211
UnitedKingdom-English,English,209
Canada-French,French,204
Mexico-Spanish,Spanish,201
India-Urdu,Urdu,101
India-Telugu,Telugu,100
India-English,English,77
Nigeria-NigerianPidgin,NigerianPidgin,69
Nigeria-Hausa,Hausa,68
SouthKorea-Korean,Korean,52
India-Punjabi,Punjabi,50
Tanzania-Swahili,Swahili,35
Italy-Italian,Italian,34
Thailand-Thai,Thai,32
India-Tamil,Tamil,24
India-Gujarati,Gujarati,15
India-Bhojpuri,Bhojpuri,10
India-Kannada,Kannada,7
Philippines-TagalogFilipino,TagalogFilipino,6
Bangladesh-Bengali,Bengali,2
