locale,writing_present,number_related,date_related,units_related,color_related
Bangladesh-Bengali,1.0,1.0,0.0,0.0,0.0
Brazil-Portuguese,1.0,1.0,0.9815668202764977,0.4423963133640553,0.02304147465437788
Canada-French,1.0,1.0,1.0,0.5147058823529411,0.014705882352941176
China-Chinese,1.0,1.0,0.9017543859649123,0.5824561403508772,0.14035087719298245
France-French,1.0,1.0,0.9735849056603774,0.6339622641509434,0.05660377358490566
Germany-German,1.0,1.0,0.9227799227799228,0.6061776061776062,0.019305019305019305
HongKong-Chinese,1.0,1.0,0.6535947712418301,0.4444444444444444,0.0784313725490196
India-Bhojpuri,1.0,1.0,0.9,0.4,0.1
India-English,1.0,1.0,0.974025974025974,0.5714285714285714,0.03896103896103896
India-Gujarati,1.0,1.0,0.9333333333333333,0.3333333333333333,0.0
India-Hindi,1.0,1.0,0.8148148148148148,0.5555555555555556,0.08333333333333333
India-Kannada,1.0,1.0,0.42857142857142855,0.14285714285714285,0.0
India-Punjabi,1.0,1.0,0.72,0.3,0.0
India-Tamil,1.0,1.0,0.875,0.25,0.125
India-Telugu,1.0,1.0,0.82,0.4,0.06
India-Urdu,1.0,1.0,0.8118811881188119,0.40594059405940597,0.0594059405940594
Indonesia-Indonesian,1.0,1.0,0.9308943089430894,0.4349593495934959,0.032520325203252036
Italy-Italian,1.0,1.0,0.8823529411764706,0.17647058823529413,0.20588235294117646
Japan-Japanese,1.0,1.0,0.8277027027027027,0.625,0.04054054054054054
Mexico-Spanish,1.0,1.0,0.9303482587064676,0.5621890547263682,0.014925373134328358
Nigeria-Hausa,1.0,1.0,0.8823529411764706,0.5,0.058823529411764705
Nigeria-NigerianPidgin,1.0,1.0,0.8115942028985508,0.4492753623188406,0.07246376811594203
Philippines-TagalogFilipino,1.0,1.0,1.0,0.5,0.0
Portugal-Portuguese,1.0,1.0,0.9715639810426541,0.5260663507109005,0.037914691943127965
Russia-Russian,1.0,1.0,0.9722222222222222,0.626984126984127,0.051587301587301584
SaudiArabia-Arabic,1.0,1.0,0.7592067988668555,0.23796033994334279,0.06515580736543909
SouthKorea-Korean,1.0,1.0,0.9230769230769231,0.5769230769230769,0.09615384615384616
Spain-Spanish,1.0,1.0,0.9571984435797666,0.6498054474708171,0.14396887159533073
Tanzania-Swahili,1.0,1.0,0.6857142857142857,0.4,0.05714285714285714
Thailand-Thai,1.0,1.0,0.8125,0.71875,0.125
Turkey-Turkish,1.0,1.0,0.9681818181818181,0.5,0.05454545454545454
UnitedKingdom-English,1.0,1.0,0.9760765550239234,0.4688995215311005,0.07177033492822966
UnitedStates-English,1.0,1.0,0.9477611940298507,0.5373134328358209,0.04477611940298507
Vietnam-Vietnamese,1.0,1.0,0.9098712446351931,0.5364806866952789,0.04291845493562232
