"language","monolingual_count","multilingual_count"
"Bengali","1","1"
"TagalogFilipino","3","3"
"Kannada","6","1"
"Bhojpuri","10","0"
"Gujarati","14","1"
"Tamil","19","5"
"Thai","27","5"
"Italian","32","2"
"Swahili","33","2"
"Punjabi","31","19"
"Korean","49","3"
"Hausa","59","9"
"NigerianPidgin","63","6"
"Telugu","52","48"
"Urdu","76","25"
"Hindi","177","39"
"Turkish","86","134"
"Vietnamese","170","63"
"Indonesian","226","20"
"Russian","234","18"
"German","257","2"
"Japanese","287","9"
"Arabic","303","50"
"Portuguese","269","159"
"Spanish","457","1"
"French","464","5"
"English","482","72"
"Chinese","333","258"
